Price,Close,High,Low,Open,Volume,MA20,MA50,RSI,Signal,Returns,Strategy_Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,
Date,,,,,,,,,,,
2023-02-07,17721.5,17811.150390625,17652.55078125,17790.099609375,354400,17874.2375,18155.196015625,37.62492934025653,0,-0.0024261514654264627,-0.0
2023-02-08,17871.69921875,17898.69921875,17744.150390625,17750.30078125,291000,17872.11494140625,18140.268984375,39.35086220696083,0,0.008475536424681795,0.0
2023-02-09,17893.44921875,17916.900390625,17779.80078125,17885.5,260900,17872.00244140625,18122.9709765625,42.0178675047301,0,0.0012170079483646568,0.0
2023-02-10,17856.5,17876.94921875,17801.0,17847.55078125,232000,17871.91748046875,18103.8509765625,43.41603641319783,0,-0.0020649578680046465,-0.0
2023-02-13,17770.900390625,17880.69921875,17719.75,17859.099609375,231300,17862.63251953125,18085.3469921875,36.57151392889421,0,-0.00479375070002519,-0.0
2023-02-14,17929.849609375,17954.55078125,17800.05078125,17840.349609375,244500,17864.38251953125,18069.92296875,43.515771901835045,0,0.0089443537049958,0.0
2023-02-15,18015.849609375,18034.099609375,17853.80078125,17896.599609375,229300,17862.5099609375,18057.3849609375,54.71894047932539,0,0.004796470794436125,0.0
2023-02-16,18035.849609375,18134.75,18000.650390625,18094.75,230200,17856.0349609375,18046.891953125,70.6419978248764,0,0.0011101336008929596,0.0
2023-02-17,17944.19921875,18034.25,17884.599609375,17974.849609375,208100,17847.85244140625,18033.5889453125,63.51567864499886,0,-0.005081567689351307,-0.0
2023-02-20,17844.599609375,18004.349609375,17818.400390625,17965.55078125,174600,17838.69990234375,18020.5489453125,57.73976416313707,0,-0.005550518480140765,-0.0
2023-02-21,17826.69921875,17924.900390625,17800.30078125,17905.80078125,198200,17824.10732421875,18007.139921875,59.14219954579247,0,-0.001003126492992057,-0.0
2023-02-22,17554.30078125,17772.5,17529.44921875,17755.349609375,204000,17795.90732421875,17986.0659375,48.020755094024985,0,-0.015280363131582653,-0.0
2023-02-23,17511.25,17620.05078125,17455.400390625,17574.650390625,240800,17776.87236328125,17963.084921875,35.9114975485553,0,-0.002452434977984641,-0.0
